Year,Annual.Average.Temperature.F
1875,52.5
1876,51.5
1877,52.0
1878,52.5
1879,52.7
1880,48.6
1881,52.3
1882,49.6
1883,50.8
1884,51.0
1885,52.8
1886,52.0
1887,52.6
1888,53.0
1889,52.9
1890,51.4
1891,50.8
1892,51.2
1893,50.3
1894,51.0
1895,50.4
1896,51.6
1897,50.6
1898,49.7
1899,51.0
1900,53.9
1901,53.5
1902,52.1
1903,50.6
1904,51.8
1905,51.7
1906,51.2
1907,52.4
1908,50.1
1909,51.8
1910,54.5
1911,51.2
1912,50.9
1913,51.3
1914,53.2
1915,53.2
1916,51.1
1917,50.7
1918,52.3
1919,52.5
1920,51.3
1921,54.4
1922,51.2
1923,50.8
1924,51.5
1925,53.1
1926,53.9
1927,52.5
1928,50.7
1929,49.3
1930,49.4
1931,49.9
1932,48.2
1933,50.5
1934,55.3
1935,51.9
1936,52.2
1937,51.4
1938,52.0
1939,51.7
1940,53.8
1941,51.5
1942,49.7
1943,52.2
1944,49.4
1945,50.5
1946,52.0
1947,51.6
1948,50.6
1949,50.1
1950,51.6
1951,50.4
1952,51.1
1953,53.2
1954,52.8
1955,49.6
1956,51.5
1957,51.7
1958,53.6
1959,51.7
1960,51.9
1961,52.3
1962,50.6
1963,50.9
1964,48.3
1965,50.5
1966,52.4
1967,51.9
1968,50.3
1969,52.0
1970,51.6
1971,50.5
1972,52.3
1973,51.4
1974,52.9
1975,50.8
1976,51.6
1977,53.2
1978,53.3
1979,52.7
1980,52.8
1981,54.3
1982,51.0
1983,53.5
1984,51.0
1985,51.9
1986,52.7
1987,53.4
1988,53.3
1989,52.2
1990,53.4
1991,51.8
1992,53.6
1993,50.3
1994,54.7
1995,53.9
1996,54.3
1997,53.4
1998,52.9
1999,53.3
2000,53.7
2001,53.8
2002,52.0
2003,55.0
2004,52.1
2005,53.4
2006,53.8
2007,53.8
2008,51.9
2009,52.1
2010,52.7
2011,51.8
2012,56.6
2013,53.3
2014,55.6
2015,56.3
2016,56.2
2017,56.1
2018,56.2
2019,53.6
2020,55.7
2021,56.3
2022,55.9
